,Sr No,Product Name,Flipkart Link - Clr 1,link
2,1,SAMSUNG Galaxy F13,Flipkart Link - Clr 2,https://www.flipkart.com/samsung-galaxy-f13-sunrise-copper-64-gb/p/itm0d8c65ec17621?pid=MOBGENJWWRYSFC5P
3,1,SAMSUNG Galaxy F13,Flipkart Link - Clr 3,https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT
4,1,SAMSUNG Galaxy F13,Flipkart Link - Clr 4,https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-128-gb/p/itm85a305642eb7b?pid=MOBGENJWVWYAAVG5
16,2,SAMSUNG Galaxy S21 FE 5G ,Flipkart Link - Clr 2,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-lavender-128-gb/p/itm3b094762fb621?pid=MOBGBNBDZJ5Q3RXK
17,2,SAMSUNG Galaxy S21 FE 5G ,Flipkart Link - Clr 3,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-olive-128-gb/p/itm76e6e65136e17?pid=MOBGCKMEMZE5UJXK
18,2,SAMSUNG Galaxy S21 FE 5G ,Flipkart Link - Clr 4,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-white-128-gb/p/itme7ee482a0b7f0?pid=MOBGE8DZ5VYDPUZT
20,2,SAMSUNG Galaxy S21 FE 5G ,Flipkart Link - RAM1,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-graphite-128-gb/p/itm7be0f72fff180?pid=MOBGBPFZSPRG8GSU
25,2,SAMSUNG Galaxy S21 FE 5G ,Flipkart Link - Storage 2,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-white-256-gb/p/itmef78eee384d9e?pid=MOBGE8E7SZZCPXQU
30,3,SAMSUNG Galaxy F23 5G,Flipkart Link - Clr 2,https://www.flipkart.com/samsung-galaxy-f23-5g-copper-blush-128-gb/p/itm59c8bf3255ef6?pid=MOBGE2ZU2YBUAEVZ
31,3,SAMSUNG Galaxy F23 5G,Flipkart Link - Clr 3,https://www.flipkart.com/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN
32,3,SAMSUNG Galaxy F23 5G,Flipkart Link - Clr 4,https://www.flipkart.com/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm1fd5f52e56b16?pid=MOBGBKQFGJH8GH7M
33,3,SAMSUNG Galaxy F23 5G,Flipkart Link - Clr 5,https://www.flipkart.com/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itm89d3030e3857e?pid=MOBGBKQFHKZHTHKJ
34,3,SAMSUNG Galaxy F23 5G,Flipkart Link - RAM1,https://www.flipkart.com/samsung-galaxy-f23-5g-copper-blush-128-gb/p/itm2ba42930a4156?pid=MOBGE2ZUJMZYRAGD
44,4,Samsung A13,Flipkart Link - Clr 2,https://www.flipkart.com/samsung-galaxy-a13-blue-64-gb/p/itmdef01ffe5363d?pid=MOBGCFVUWX4ZNKRH
45,4,Samsung A13,Flipkart Link - Clr 3,https://www.flipkart.com/samsung-galaxy-a13-peach-64-gb/p/itm4129518aecc13?pid=MOBGCFVUMBSH9NJG
48,4,Samsung A13,Flipkart Link - RAM1,https://www.flipkart.com/samsung-galaxy-a13-black-64-gb/p/itm04e182861fbb3?pid=MOBGCFVUAQC3JGDX
49,4,Samsung A13,Flipkart Link - RAM2,https://www.flipkart.com/samsung-galaxy-a13-black-128-gb/p/itmdb7bb7f87e4ce?pid=MOBGCFVUR7ZJ6ZBY
53,4,Samsung A13,Flipkart Link - Storage 2,https://www.flipkart.com/samsung-galaxy-a13-black-128-gb/p/itm5b19c081bccf0?pid=MOBGCFVUHUSRXYGV
